institution.displayName,institution.state,institution.city,institution.isPublic,ranking.sortRank,searchData.tuition.rawValue
Edgewood College,WI,Madison,True,296.0,33550.0
Edmonds Community College,WA,Lynnwood,True,,10104.0
EDP University of Puerto Rico Inc--San Juan,PR,San Juan,True,29.0,6900.0
Edward Waters University,FL,Jacksonville,True,66.0,14878.0
Elizabeth City State University,NC,Elizabeth City,True,28.0,10956.0
Elizabethtown College,PA,Elizabethtown,True,39.0,36842.0
Elmhurst University,IL,Elmhurst,True,6.0,41628.0
Elmira College,NY,Elmira,True,7.0,39712.0
Elms College,MA,Chicopee,True,60.0,42060.0
Elon University,NC,Elon,True,133.0,44536.0
Embry-Riddle Aeronautical University -- Daytona Beach,FL,Daytona Beach,True,6.0,42304.0
Embry-Riddle Aeronautical University--Prescott,AZ,Prescott,True,1.0,42204.0
Embry-Riddle Aeronautical University--Worldwide,FL,Daytona Beach,True,,11185.0
Emerson College,MA,Boston,True,13.0,55392.0
Emmanuel College,MA,Boston,True,152.0,46686.0
Emmanuel University,GA,Franklin Springs,True,52.0,23534.0
Emmaus Bible College,IA,Dubuque,True,41.0,19800.0
Emory & Henry College,VA,Emory,True,21.0,35155.0
Emory University,GA,Atlanta,True,24.0,60774.0
Emporia State University,KS,Emporia,True,83.0,15659.0
Endicott College,MA,Beverly,True,39.0,39212.0
Erskine College,SC,Due West,True,43.0,36710.0
Escuela de Artes Plasticas de Puerto Rico,PR,San Juan,True,,7304.0
Eureka College,IL,Eureka,True,41.0,28110.0
Evangel University,MO,Springfield,True,108.0,27192.0
Everglades University,FL,Boca Raton,True,97.0,20000.0
The Evergreen State College,WA,Olympia,True,69.0,30973.0
Fairfield University,CT,Fairfield,True,124.0,56360.0
Fairleigh Dickinson University,NJ,Teaneck,True,45.0,38770.0
Fairmont State University,WV,Fairmont,True,98.0,18022.0
Faith Baptist Bible College and Theological Seminary,IA,Ankeny,True,44.0,18740.0
Farmingdale State College--SUNY,NY,Farmingdale,True,16.0,18486.0
Fashion Institute of Design & Merchandising,CA,Los Angeles,True,6.0,32645.0
Fashion Institute of Technology,NY,New York,True,,16750.0
Faulkner University,AL,Montgomery,True,,23920.0
Fayetteville State University,NC,Fayetteville,True,69.0,6262.0
Feather River Community College District,CA,Quincy,True,,9531.0
Felician University,NJ,Lodi,True,123.0,37830.0
Ferris State University,MI,Big Rapids,True,304.0,14686.0
Ferrum College,VA,Ferrum,True,52.0,37280.0
Fisher College,MA,Boston,True,40.0,34150.0
Fisk University,TN,Nashville,True,146.0,23578.0
Fitchburg State University,MA,Fitchburg,True,69.0,17001.0
Five Towns College,NY,Dix Hills,True,,29200.0
Flagler College,FL,St. Augustine,True,3.0,26610.0
Florida A&M University,FL,Tallahassee,True,170.0,17725.0
Florida A&M University -- Florida State University College of Engineering,FL,,True,,
Florida Atlantic University,FL,Boca Raton,True,209.0,21655.0
